Trial,AUROC,w_entropy,w_ig,w_kl,w_cd,w_selfcheck,w_se
1,0.7485,0.3025,0.1789,0.2076,0.1009,0.1791,0.0309
2,0.7487,0.1919,0.2197,0.2841,0.067,0.168,0.0692
3,0.7462,0.1798,0.3081,0.1494,0.0865,0.204,0.0721
4,0.7458,0.3127,0.229,0.2007,0.0811,0.1032,0.0732
5,0.7507,0.2058,0.2174,0.376,0.0669,0.1032,0.0308
6,0.7516,0.2353,0.181,0.3369,0.0577,0.1442,0.0449
7,0.7497,0.2182,0.3213,0.3141,0.0394,0.0782,0.0288
8,0.7487,0.3255,0.2375,0.2012,0.0932,0.0915,0.0511
9,0.7513,0.2262,0.1584,0.3703,0.0784,0.1217,0.045
10,0.7494,0.2198,0.3047,0.2432,0.0817,0.0956,0.0549
11,0.7516,0.2912,0.2403,0.2416,0.1169,0.0685,0.0414
12,0.7497,0.3179,0.3336,0.1687,0.0698,0.0805,0.0296
13,0.7507,0.2076,0.2229,0.3422,0.0391,0.143,0.0451
14,0.751,0.279,0.1612,0.3324,0.068,0.1085,0.051
15,0.7505,0.2459,0.2946,0.2046,0.1174,0.0904,0.0471
16,0.7518,0.2166,0.1853,0.3152,0.0634,0.1755,0.0439
17,0.746,0.3742,0.2643,0.1494,0.0862,0.0841,0.0418
18,0.7463,0.2087,0.2251,0.3273,0.0895,0.0713,0.0781
19,0.75,0.224,0.2878,0.1878,0.08,0.179,0.0414
20,0.7525,0.2941,0.2371,0.2472,0.0927,0.1028,0.0261
21,0.7487,0.2633,0.2549,0.2992,0.0437,0.0772,0.0618
22,0.7495,0.3094,0.1994,0.2681,0.0783,0.0854,0.0594
23,0.7457,0.1921,0.1896,0.2633,0.0914,0.1722,0.0914
24,0.7499,0.2803,0.2424,0.2425,0.0664,0.1169,0.0516
25,0.7476,0.3397,0.3136,0.1498,0.0906,0.0553,0.051
26,0.7472,0.2254,0.2316,0.2006,0.0889,0.1847,0.0689
27,0.7509,0.2653,0.1986,0.2964,0.0815,0.1058,0.0524
28,0.7462,0.1763,0.2096,0.4211,0.0616,0.0815,0.0499
29,0.7522,0.2763,0.242,0.2336,0.0851,0.1409,0.0221
30,0.7526,0.3007,0.2309,0.2953,0.0643,0.0834,0.0255
31,0.7499,0.3206,0.1563,0.3445,0.053,0.0688,0.0568
32,0.7427,0.3125,0.2039,0.1651,0.0728,0.1956,0.0502
33,0.7501,0.2441,0.2781,0.2513,0.0862,0.0882,0.0521
34,0.7511,0.1863,0.1801,0.3189,0.1185,0.1424,0.0537
35,0.7495,0.3217,0.1778,0.3245,0.0398,0.0784,0.0578
36,0.7489,0.2573,0.316,0.2132,0.0391,0.1223,0.0521
37,0.7497,0.1503,0.2622,0.3009,0.1069,0.131,0.0487
38,0.75,0.2842,0.2149,0.2565,0.0704,0.1212,0.0528
39,0.7462,0.2887,0.3273,0.1664,0.0548,0.0958,0.067
40,0.7473,0.3291,0.175,0.2314,0.104,0.0936,0.067
41,0.751,0.3192,0.3089,0.2188,0.0564,0.07,0.0268
42,0.7507,0.1527,0.3511,0.2277,0.0614,0.1746,0.0325
43,0.7449,0.1823,0.2128,0.381,0.0539,0.0936,0.0764
44,0.7451,0.3084,0.2604,0.1433,0.0821,0.1559,0.0499
45,0.7508,0.2225,0.2552,0.2982,0.0593,0.1201,0.0448
46,0.7484,0.2855,0.2429,0.2257,0.0394,0.1575,0.0491
47,0.7496,0.3038,0.2024,0.2758,0.0434,0.1232,0.0514
48,0.7509,0.2431,0.2304,0.3424,0.0555,0.0892,0.0393
49,0.7502,0.1823,0.309,0.2912,0.0611,0.1197,0.0367
50,0.7444,0.3269,0.299,0.1306,0.0848,0.0906,0.0681
