Method,AUROC,CI_low,CI_high,F1,Spearman_rho,ECE
Baseline 1: Token Entropy,0.6072,0.6028,0.6112,0.109,0.0742,0.4599
Baseline 2: SelfCheckGPT-NLI (Manakul 2023),0.6098,0.6054,0.6138,0.108,0.076,0.4628
+IG (entropy+selfcheck+ig),0.6915,0.6877,0.6951,0.1374,0.1325,0.4733
+KL (entropy+selfcheck+ig+kl),0.7338,0.7304,0.7371,0.1591,0.1618,0.5227
+CD (entropy+selfcheck+ig+kl+cd),0.7418,0.7384,0.7453,0.1655,0.1674,0.5308
+SE (DeBERTa NLI clustering),0.7119,0.7083,0.7156,0.1596,0.1466,0.5875
CAWC v5 Composite (unsupervised),0.751,0.7477,0.7544,0.1734,0.1738,0.567
Individual: entropy,0.6072,0.6028,0.6112,0.109,0.0742,0.4599
Individual: ig,0.718,0.7147,0.7218,0.1535,0.1509,0.447
Individual: kl,0.6719,0.668,0.6759,0.1476,0.119,0.4459
Individual: cd,0.7268,0.7235,0.7306,0.1589,0.157,0.4484
Individual: selfcheck,0.6098,0.6054,0.6138,0.108,0.076,0.4628
Individual: se,0.4945,0.492,0.497,0.0786,-0.0068,0.8498
